Dec_Output X,Dec_Output Y
0.000427,54
0.000428,8
0.000429,56
0.00043,6
0.000431,58
0.000432,4
0.000433,60
0.000434,2
0.000435,61
0.000436,1
0.000437,62
0.000438,0
0.000439,63
0.00044,0
0.000441,63
0.000442,0
0.000443,63
0.000444,0
0.000445,63
0.000446,1
0.000447,62
0.000448,2
0.000449,61
0.00045,3
0.000451,59
0.000452,5
0.000453,57
0.000454,7
0.000455,55
0.000456,9
0.000457,53
0.000458,12
0.000459,50
0.00046,15
0.000461,47
0.000462,18
0.000463,43
0.000464,21
0.000465,40
0.000466,25
0.000467,37
0.000468,28
0.000469,33
0.00047,32
0.000471,29
0.000472,35
0.000473,26
0.000474,39
0.000475,23
0.000476,42
0.000477,19
0.000478,45
0.000479,16
0.00048,48
0.000481,13
0.000482,51
0.000483,10
0.000484,54
0.000485,8
0.000486,56
0.000487,6
0.000488,58
0.000489,4
0.00049,60
0.000491,2
0.000492,61
0.000493,1
0.000494,62
0.000495,0
0.000496,63
0.000497,0
0.000498,63
0.000499,0
0.0005,63
0.000501,0
0.000502,63
0.000503,1
0.000504,62
0.000505,2
0.000506,61
0.000507,3
0.000508,59
0.000509,5
0.00051,57
0.000511,7
0.000512,55
0.000513,9
0.000514,52
0.000515,12
0.000516,50
0.000517,15
0.000518,47
0.000519,18
0.00052,43
0.000521,21
0.000522,40
0.000523,25
0.000524,36
0.000525,28
0.000526,33
0.000527,32
0.000528,29
0.000529,36
0.00053,26
0.000531,39
0.000532,22
0.000533,42
0.000534,19
0.000535,46
0.000536,16
0.000537,49
0.000538,13
0.000539,51
0.00054,10
0.000541,54
0.000542,8
0.000543,56
0.000544,6
0.000545,58
0.000546,4
0.000547,60
0.000548,2
0.000549,61
0.00055,1
0.000551,62
0.000552,0
0.000553,63
0.000554,0
0.000555,63
0.000556,0
0.000557,63
0.000558,0
0.000559,63
0.00056,1
0.000561,62
0.000562,2
0.000563,61
0.000564,3
0.000565,59
0.000566,5
0.000567,57
0.000568,7
0.000569,55
0.00057,9
0.000571,52
0.000572,12
0.000573,49
0.000574,15
0.000575,46
0.000576,18
0.000577,43
0.000578,22
0.000579,40
0.00058,25
0.000581,36
0.000582,29
0.000583,33
0.000584,32
0.000585,29
0.000586,36
0.000587,26
0.000588,39
0.000589,22
0.00059,43
0.000591,19
0.000592,46
0.000593,16
0.000594,49
0.000595,13
0.000596,52
0.000597,10
0.000598,54
0.000599,8
0.0006,57
0.000601,5
0.000602,59
0.000603,4
0.000604,60
0.000605,2
0.000606,62
0.000607,1
0.000608,62
0.000609,0
0.00061,63
0.000611,0
0.000612,63
0.000613,0
0.000614,63
0.000615,0
0.000616,63
0.000617,1
0.000618,62
0.000619,2
0.00062,61
0.000621,3
0.000622,59
0.000623,5
0.000624,57
0.000625,7
0.000626,55
0.000627,10
0.000628,52
0.000629,12
0.00063,49
0.000631,15
0.000632,46
0.000633,18
0.000634,43
0.000635,22
0.000636,39
0.000637,25
0.000638,36
0.000639,29
0.00064,32
0.000641,32
0.000642,29
0.000643,36
0.000644,25
0.000645,39
0.000646,22
0.000647,43
0.000648,19
0.000649,46
0.00065,16
0.000651,49
0.000652,13
0.000653,52
0.000654,10
0.000655,54
0.000656,7
0.000657,57
0.000658,5
0.000659,59
0.00066,3
0.000661,60
0.000662,2
0.000663,62
0.000664,1
0.000665,63
0.000666,0
0.000667,63
0.000668,0
0.000669,63
0.00067,0
0.000671,63
0.000672,0
0.000673,63
0.000674,1
0.000675,62
0.000676,2
0.000677,60
0.000678,3
0.000679,59
0.00068,5
0.000681,57
0.000682,7
0.000683,55
0.000684,10
0.000685,52
0.000686,12
0.000687,49
0.000688,15
0.000689,46
0.00069,19
0.000691,43
0.000692,22
0.000693,39
0.000694,25
0.000695,36
0.000696,29
0.000697,32
0.000698,33
0.000699,29
0.0007,36
0.000701,25
0.000702,40
0.000703,22
0.000704,43
0.000705,19
0.000706,46
0.000707,15
0.000708,49
0.000709,12
0.00071,52
0.000711,10
0.000712,55
0.000713,7
0.000714,57
0.000715,5
0.000716,59
0.000717,3
0.000718,60
0.000719,2
0.00072,62
0.000721,1
0.000722,63
0.000723,0
0.000724,63
0.000725,0
0.000726,63
0.000727,0
