Dec_Output X,Dec_Output Y
0.000427,0
0.000428,0
0.000429,0
0.00043,0
0.000431,0
0.000432,0
0.000433,1
0.000434,2
0.000435,2
0.000436,3
0.000437,4
0.000438,5
0.000439,6
0.00044,7
0.000441,8
0.000442,9
0.000443,11
0.000444,12
0.000445,13
0.000446,15
0.000447,16
0.000448,18
0.000449,20
0.00045,21
0.000451,23
0.000452,25
0.000453,26
0.000454,28
0.000455,30
0.000456,32
0.000457,34
0.000458,35
0.000459,37
0.00046,39
0.000461,40
0.000462,42
0.000463,44
0.000464,45
0.000465,47
0.000466,49
0.000467,50
0.000468,51
0.000469,53
0.00047,54
0.000471,55
0.000472,56
0.000473,58
0.000474,59
0.000475,59
0.000476,60
0.000477,61
0.000478,62
0.000479,62
0.00048,63
0.000481,63
0.000482,63
0.000483,63
0.000484,63
0.000485,63
0.000486,63
0.000487,63
0.000488,63
0.000489,63
0.00049,62
0.000491,61
0.000492,61
0.000493,60
0.000494,59
0.000495,58
0.000496,57
0.000497,56
0.000498,55
0.000499,54
0.0005,52
0.000501,51
0.000502,49
0.000503,48
0.000504,46
0.000505,45
0.000506,43
0.000507,42
0.000508,40
0.000509,38
0.00051,36
0.000511,35
0.000512,33
0.000513,31
0.000514,29
0.000515,28
0.000516,26
0.000517,24
0.000518,22
0.000519,21
0.00052,19
0.000521,17
0.000522,16
0.000523,14
0.000524,13
0.000525,11
0.000526,10
0.000527,9
0.000528,8
0.000529,6
0.00053,5
0.000531,4
0.000532,3
0.000533,3
0.000534,2
0.000535,1
0.000536,1
0.000537,0
0.000538,0
0.000539,0
0.00054,0
0.000541,0
0.000542,0
0.000543,0
0.000544,0
0.000545,0
0.000546,1
0.000547,1
0.000548,2
0.000549,2
0.00055,3
0.000551,4
0.000552,5
0.000553,6
0.000554,7
0.000555,8
0.000556,10
0.000557,11
0.000558,12
0.000559,14
0.00056,15
0.000561,17
0.000562,18
0.000563,20
0.000564,22
0.000565,23
0.000566,25
0.000567,27
0.000568,29
0.000569,30
0.00057,32
0.000571,34
0.000572,36
0.000573,37
0.000574,39
0.000575,41
0.000576,43
0.000577,44
0.000578,46
0.000579,47
0.00058,49
0.000581,50
0.000582,52
0.000583,53
0.000584,54
0.000585,56
0.000586,57
0.000587,58
0.000588,59
0.000589,60
0.00059,60
0.000591,61
0.000592,62
0.000593,62
0.000594,63
0.000595,63
0.000596,63
0.000597,63
0.000598,63
0.000599,63
0.0006,63
0.000601,63
0.000602,63
0.000603,62
0.000604,62
0.000605,61
0.000606,61
0.000607,60
0.000608,59
0.000609,58
0.00061,57
0.000611,56
0.000612,55
0.000613,53
0.000614,52
0.000615,51
0.000616,49
0.000617,48
0.000618,46
0.000619,44
0.00062,43
0.000621,41
0.000622,39
0.000623,38
0.000624,36
0.000625,34
0.000626,32
0.000627,31
0.000628,29
0.000629,27
0.00063,25
0.000631,24
0.000632,22
0.000633,20
0.000634,19
0.000635,17
0.000636,15
0.000637,14
0.000638,12
0.000639,11
0.00064,10
0.000641,8
0.000642,7
0.000643,6
0.000644,5
0.000645,4
0.000646,3
0.000647,2
0.000648,2
0.000649,1
0.00065,1
0.000651,0
0.000652,0
0.000653,0
0.000654,0
0.000655,0
0.000656,0
0.000657,0
0.000658,0
0.000659,0
0.00066,1
0.000661,1
0.000662,2
0.000663,3
0.000664,3
0.000665,4
0.000666,5
0.000667,6
0.000668,7
0.000669,9
0.00067,10
0.000671,11
0.000672,13
0.000673,14
0.000674,16
0.000675,17
0.000676,19
0.000677,20
0.000678,22
0.000679,24
0.00068,25
0.000681,27
0.000682,29
0.000683,31
0.000684,33
0.000685,34
0.000686,36
0.000687,38
0.000688,40
0.000689,41
0.00069,43
0.000691,45
0.000692,46
0.000693,48
0.000694,49
0.000695,51
0.000696,52
0.000697,53
0.000698,55
0.000699,56
0.0007,57
0.000701,58
0.000702,59
0.000703,60
0.000704,61
0.000705,61
0.000706,62
0.000707,62
0.000708,63
0.000709,63
0.00071,63
0.000711,63
0.000712,63
0.000713,63
0.000714,63
0.000715,63
0.000716,63
0.000717,62
0.000718,62
0.000719,61
0.00072,60
0.000721,60
0.000722,59
0.000723,58
0.000724,57
0.000725,56
0.000726,54
0.000727,53
0.000728,52
0.000729,50
0.00073,49
0.000731,47
0.000732,46
0.000733,44
0.000734,42
0.000735,41
0.000736,39
0.000737,37
0.000738,36
0.000739,34
0.00074,32
0.000741,30
0.000742,28
0.000743,27
0.000744,25
0.000745,23
0.000746,22
0.000747,20
0.000748,18
0.000749,17
0.00075,15
0.000751,14
0.000752,12
0.000753,11
0.000754,9
0.000755,8
0.000756,7
0.000757,6
0.000758,5
0.000759,4
0.00076,3
0.000761,2
0.000762,2
0.000763,1
0.000764,1
0.000765,0
0.000766,0
0.000767,0
0.000768,0
0.000769,0
0.00077,0
0.000771,0
0.000772,0
0.000773,0
0.000774,1
0.000775,1
0.000776,2
0.000777,3
0.000778,4
0.000779,4
0.00078,5
0.000781,6
0.000782,8
0.000783,9
0.000784,10
0.000785,11
0.000786,13
0.000787,14
0.000788,16
0.000789,17
0.00079,19
0.000791,21
0.000792,22
0.000793,24
0.000794,26
0.000795,28
0.000796,29
0.000797,31
0.000798,33
0.000799,35
0.0008,36
0.000801,38
0.000802,40
0.000803,42
0.000804,43
0.000805,45
0.000806,47
0.000807,48
0.000808,50
0.000809,51
0.00081,52
0.000811,54
0.000812,55
0.000813,56
0.000814,57
0.000815,58
0.000816,59
0.000817,60
0.000818,61
0.000819,61
0.00082,62
0.000821,63
0.000822,63
0.000823,63
0.000824,63
0.000825,63
0.000826,63
0.000827,63
0.000828,63
0.000829,63
0.00083,63
0.000831,62
0.000832,62
0.000833,61
0.000834,60
0.000835,59
0.000836,58
0.000837,57
0.000838,56
0.000839,55
0.00084,54
0.000841,53
0.000842,51
0.000843,50
0.000844,48
0.000845,47
0.000846,45
0.000847,44
0.000848,42
0.000849,40
0.00085,39
0.000851,37
0.000852,35
0.000853,33
0.000854,32
0.000855,30
0.000856,28
0.000857,26
0.000858,25
0.000859,23
0.00086,21
0.000861,20
0.000862,18
0.000863,16
0.000864,15
0.000865,13
0.000866,12
0.000867,10
0.000868,9
0.000869,8
0.00087,7
0.000871,6
0.000872,5
0.000873,4
0.000874,3
0.000875,2
0.000876,1
0.000877,1
0.000878,0
0.000879,0
0.00088,0
0.000881,0
0.000882,0
0.000883,0
0.000884,0
0.000885,0
0.000886,0
0.000887,0
0.000888,1
0.000889,1
0.00089,2
0.000891,3
0.000892,4
0.000893,5
0.000894,6
0.000895,7
0.000896,8
0.000897,9
0.000898,10
0.000899,12
0.0009,13
0.000901,15
0.000902,16
0.000903,18
0.000904,19
0.000905,21
0.000906,23
0.000907,24
0.000908,26
0.000909,28
0.00091,30
0.000911,32
